,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
57,330,85,6160.315995544308,7.7001843142880295,17190.205346105464,15.775759105107916,32883.52564089137,14.519461327299664,53053.65417819879,13.957733193508105
58,330,85,5160.5141715476775,11.617573190976938,15889.84675708339,9.349778093833898,29109.11177574675,10.367272260691374,44356.83562686426,14.813738372729656
59,330,85,5970.586406068893,14.742308305718698,16213.07639931093,13.131599194401314,35700.546314158855,13.998618881894112,52494.25943459078,9.596785657564475
60,277,43,4901.421690879031,7.991895790890249,12563.62149297652,9.039341233590928,20562.432384570595,7.848608473073403,30787.03551997873,7.4181228641897885
61,277,43,3597.5024119630375,7.779523395834427,12166.691655851233,10.643771233534842,22642.71777412782,12.547416392878839,31183.031589647893,10.118992975466586
62,277,43,4822.596154496694,7.680767958880817,11630.773517040516,6.657841555784994,21091.37512338876,7.41042490873247,26311.028657204195,10.831414599898544
63,277,43,5125.076147973115,7.44811166936017,11981.486737494957,10.95461788725615,18891.171360269764,7.156244750899385,27821.13119544698,6.329617307585533
64,277,43,4436.60108478093,3.2099173120732023,13456.453925578979,7.033608375021895,22758.568507463697,7.44915436736728,32394.621522664864,8.330102289790787
65,726,65,13773.76023058454,33.34006349972126,34455.100344272934,9.583743987367516,67826.85696581304,13.38873650275264,102853.44338042065,9.2184243994896
66,726,65,12649.029269251663,23.823823954458554,36467.15679971097,10.24183240589876,66971.09111944982,9.310510845861025,113774.61361180362,11.154538097846388
